No;Nomor Laporan;Tanggal Laporan;Tanggal Penilaian;Nilai Wajar Laporan;Deskripsi Objek;Nama Unit;Pemohon ;Nomor Surat Permohonan;Kategori Penilaian;Tanggal Permohonan Diterima;Objek Penilaian;Jumlah Objek Laporan;Nomor Surat Tugas;Tanggal Mulai Survey ;Tanggal Selesai Survey;Nomor Surat Kelengkapan ;Tanggal Surat Kelengkapan ;Nomor Surat Balas Kelengkapan ;Tanggal Surat Balas Kelengkapan ;Nota Dinas Tenaga Bantuan ;Tanggal Nota Dinas Tenaga Bantuan ;Nomor Nota Dinas Balas Bantuan ;Tanggal Balas Bantuan ;Nomor Surat BATKD Kirim ;Tanggal Surat BATKD Kirim ;Nomor Balasan Pemohon BATKD;Tanggal Balasan Pemohon BATKD;Nomor BATKD;Tanggal BATKD;Nomor Surat Penyerahan ;Tanggal Penyerahan ;Jenis Objek ;Jenis Objek Lainnya ;Tujuan Penilaian 1;Tujuan Penilaian 2;Tujuan Penilaian Lainnya ;Total Objek Permohonan ;Nomor Surat Konfirmasi ;Tanggal Surat Konfirmasi ;Nomor Surat Balas Konfirmasi;Tanggal Surat Balas Konfirmasi
1;LAP-0008/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;2735000;"Tanah Untuk Jalan Nasional Sp. Bujung Tenuk - 
Bujung Tenuk";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
2;LAP-0009/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;104840000;"Tanah Untuk Jalan Nasional  Bujung Tenuk - Terbanggi 
Besar";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
3;LAP-0010/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;64826000;"Tanah Untuk Jalan Nasional Terbanggi Besar - 
Gunung Sugih";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
4;LAP-0011/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;44261000;"Tanah Untuk Jalan Nasional Jalan Sudirman Metro - 
Kab. Lampung Tengah";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
5;LAP-001/1/PRO-01/KNL.1004/01.02.01/2024;17-01-2024;10-01-2024;51850000;Sewa Sebagian tanah dan bangunan;Kantor Pelayanan Kekayaan Negara dan Lelang Jember;Kantor Pelayanan Kekayaan Negara dan Lelang Jember - KPKNL_PKN;ND-3/KNL.100402/2024;Penilaian Properti;04-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);2;ST-24/KNL.1004/2024;10-01-2024;10-01-2024;;;;;;;;;;;;;;;ND-9/KNL.1004/PiPem.4/22024;17-01-2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;2;;;;
6;LAP-0019/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;404957000;3 (Tiga) Unit Kendaraan Bermotor Roda Empat dan 4(Empat) Kendaraan Bermotor Roda Dua;Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;7;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
7;LAP-0007/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;519340000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 537/ SUMUR PECUNG ATAS NAMA IDAR SUDARMA,";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
8;LAP-0008/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;117128000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
AJB 1213/2014 A.N. YATI MUNYATI ATAS NAMA YATI MUNYATI";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
9;LAP-0010/1/PRO-07/KNL.0906/01.03.01/2024;25-01-2024;12-01-2024;33707000;3 (tiga) unit kendaraan bermotor roda empat, 8 (delapan) unit kendaraan bermotor roda dua, dan limbah padat dari 2 (dua) unit kendaraan bermotor roda dua;Kantor Pelayanan Kekayaan Negara dan Lelang Purwokerto;PEMERINTAH KABUPATEN PURBALINGGA;030/19872/2023;Penilaian Properti;03-01-2024;Barang Milik Daerah;1;ST-34/KNL.0906/2024;10-01-2024;12-01-2024;;;;;;;;;;;;;;;S-64/KNL.0906/2024;25-01-2024;Peralatan dan Mesin;;Penilaian Barang Milik Daerah;Pemindahtanganan - Penjualan;;1;;;;
10;LAP-0009/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;350854000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 03381/ KALIGANDU ATAS NAMA INSINYUR WAWAN KADARISMAN";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
11;LAP-0010/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;416442000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 03724/ JOMBANG WETAN ATAS NAMA TENNY TANIA,";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
12;LAP-0010/1/PRO-01/KNL.0301/01.02.01/2024;25-01-2024;23-01-2024;3615000;Barang Milik Negara Berupa Sebagian Tanah balai Pengelola Transportasi Darat Kelas II Provinsi Sumatera Barat;Kantor Pelayanan Kekayaan Negara dan Lelang Padang;Kantor Pelayanan Kekayaan Negara dan Lelang Padang - KPKNL_PKN;ND-32/KNL.0301/2024;Penilaian Properti;19-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-59/KNL.0301/2024;23-01-2024;23-01-2024;;;;;;;;;;;;;;;ND-86/KNL.0301/2024;25-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
13;LAP-0013/1/PRO-01/KNL.0301/05.00.00/2024;30-01-2024;25-01-2024;24553000;Barang Yang Akan Ditetapkan Status Penggunaannya Menjadi Barang Milik Negara Selain Tanah Dan/atau Bangunan Berupa 3 Unit Kendaraan Bermotor Roda Dua Kejaksaan Negeri Pariaman;Kantor Pelayanan Kekayaan Negara dan Lelang Padang;Kantor Pelayanan Kekayaan Negara dan Lelang Padang - KPKNL_PKN;ND-40/KNL.030102/2024;Penilaian Properti;24-01-2024;Barang Rampasan;3;ST-73/KNL.0301/2024;25-01-2024;25-01-2024;;;;;;;;;;;;;;;ND-101/WKN.0301/2024;30-01-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Penyusunan Neraca Pemerintah Pusat;;3;;;;
14;LAP-0019/1/PRO-01/KNL.1303/01.02.01/2024;13-02-2024;07-02-2024;7836000;sewa tanah dan bangunan untuk kantin;Kantor Pelayanan Kekayaan Negara dan Lelang Tarakan;Kantor Pelayanan Kekayaan Negara dan Lelang Tarakan - KPKNL_PKN;ND-47/KNL.130302/2024;Penilaian Properti;13-02-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);2;ST-24/KNL.1303/2024;;;;;;;;;;;;;;;;;ND-23/KNL.1303/PiPem.4/2024;13-02-2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;2;;;;
15;LAP-0008/1/PRO-01/KNL.1301/01.03.01/2024;13-02-2024;06-02-2024;45625000;Limbah Padat (Scrap), 1 Unit kendaraan bermotor roda 4, 3 unit kendaraan bermotor roda 2, BBM jenis solar;Kantor Pelayanan Kekayaan Negara dan Lelang Balikpapan;Kantor Pelayanan Kekayaan Negara dan Lelang Balikpapan - KPKNL_PENILAIAN;B-206/O.4.10/Cu.2/01/2024;Penilaian Properti;30-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);8;ST-76/KNL.1301/2024;;;;;;;;;;;;;;;;;S-164/KNL.1301/2024;13-02-2024;Peralatan dan Mesin, Scrap, Lain -lain;Kendaraan bermotor, limbah padat (scrap) dan BBM;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;9;;;;
16;LAP-0009/1/PRO-01/KNL.1301/01.03.01/2024;13-02-2024;06-02-2024;24151000;Limbah Padat (Scrap);Kantor Pelayanan Kekayaan Negara dan Lelang Balikpapan;Kantor Pelayanan Kekayaan Negara dan Lelang Balikpapan - KPKNL_PENILAIAN;B-206/O.4.10/Cu.2/01/2024;Penilaian Properti;30-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-76/KNL.1301/2024;;;;;;;;;;;;;;;;;S-164/KNL.1301/2024;13-02-2024;Peralatan dan Mesin, Scrap, Lain -lain;Kendaraan bermotor, limbah padat (scrap) dan BBM;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;9;;;;
17;LAP-0006/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;170906000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHGB 155/ GEDONG DALEM ATAS NAMA IDAR SUDARMA";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
18;LAP-0011/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;256255000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 03941/ LEBAK DENOK ATAS NAMA TENNY TANIA";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
19;LAP-0012/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;350446000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 2959/ PANGGUNG RAWI ATAS NAMA TENNY TANIA";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
20;LAP-0013/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;642500000;"1 (satu) Bidang Tanah
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
AJB NO. 31/2020 A.N. TENNY TANIA";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
21;LAP-0014/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;294611000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 936/ PANGGUNG RAWI ATAS NAMA NOERZEN";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
22;LAP-0015/1/PRO-01/KNL.0601/01.03.01/2024;07-02-2024;26-01-2024;388961000;"1 (satu) Bidang Tanah dan Bangunan
BARANG RAMPASAN KEJAKSAAN NEGERI CILEGON
SHM 1854/ JOMBANG WETAN ATAS NAMA ARIEF APRIANTO";Kantor Pelayanan Kekayaan Negara dan Lelang Serang;KEJAKSAAN NEGERI CILEGON;B- 3634/M.6.15.6/Kpa.5/11/2023;Penilaian Properti;16-01-2024;Barang Rampasan;1;ST-000/WKN.06/2024;23-01-2024;26-01-2024;;;;;;;;;;;;;;;S-54/KNL.0601/2024;07-02-2024;Tanah, Bangunan, Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Lelang Barang Rampasan;20;;;;
23;LAP-0005/1/PRO-01/KNL.0202/01.03.01/2024;13-02-2024;07-02-2024;20064000;Truk;Kantor Pelayanan Kekayaan Negara dan Lelang Pematang Siantar;KEJAKSAAN NEGERI SIMALUNGUN;B-138/L.2.24/Kpa.5/01/2024;Penilaian Properti;05-02-2024;Barang Rampasan;1;ST-53/KNL.0202/2024;06-02-2024;07-02-2024;;;;;;;;;;;;;;;S-88/KNL.0202/2024;13-02-2024;Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Pemindahtanganan;1;;;;
24;LAP-0001/1/PRO-01/KNL.1603/01.02.01/2024;22-01-2024;13-01-2024;18375000;Sewa Sebagian Tanah dan Bangunan yang digunakan untuk Sekolah TK XXI-23 Kartika Kodam XIII Merdeka Markas Kompi Bantu Yonif 714/SM, Jalan Tabatoki, Desa Kawua, Poso Kota, Kabupaten Poso, Sulawesi Tengah;Kantor Pelayanan Kekayaan Negara dan Lelang Palu;Kantor Pelayanan Kekayaan Negara dan Lelang Manado - KPKNL_PKN;B/4429/XII/2023;Penilaian Properti;08-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);2;ST-5/KNL.1603/2024;09-01-2024;13-01-2024;;;;;;;;;;;;;;;ND-71/KNL.1603/2024;22-01-2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;8;;;;
25;LAP-0002/1/PRO-01/KNL.1603/01.02.01/2024;22-01-2024;13-01-2024;19880000;Sewa Sebagian Tanah dan Bangunan yang digunakan untuk Sekolah Paud Kartika XXI- 1 KB Mawar Kodam XIII Merdeka Markas Asrama Kompi Bantu Yonif 714/SM, Jalan Trans Sulawesi, Desa Rononuncu, Kecamatan Poso Kota Selatan, Kabupaten Poso, Sulawesi Tengah;Kantor Pelayanan Kekayaan Negara dan Lelang Palu;Kantor Pelayanan Kekayaan Negara dan Lelang Manado - KPKNL_PKN;B/4429/XII/2023;Penilaian Properti;08-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);2;ST-5/KNL.1603/2024;09-01-2024;13-01-2024;;;;;;;;;;;;;;;ND-71/KNL.1603/2024;22-01-2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;8;;;;
26;LAP-0020/1/PRO-01/KNL.0402/01.02.01/2024;17-01-2024;15-01-2024;8845000;sewa sebagian tanah dan bangunan (kantin);Kantor Pelayanan Kekayaan Negara dan Lelang Palembang;Kantor Pelayanan Kekayaan Negara dan Lelang Palembang - KPKNL_PKN;ND-40/KNL.0402/2024;Penilaian Properti;11-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-77/KNL.0402/2024;15-01-2024;15-01-2024;;;;;;;;;;;;;;;ND-90/KNL.0402/2024;17-01-2024;Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
27;LAP-0005/2/PRO-01/KNL.0503/01.02.01/2024;23-01-2024;18-01-2024;900000;"Sebagian Tanah dan Bangunan yang 
disewakan untuk Kantin";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Metro - KPKNL_PKN;ND-21/KNL.050302/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-38/KNL.0503/2024;18-01-2024;18-01-2024;;;;;;;;;;;;;;;ND-15/KNL.0503/PiPem.3/2024;23-01-2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
28;LAP-0017/1/PRO-09/KNL.1203/09.03.00/2024;24-01-2024;16-01-2024;63634000;Mini bus Sejumlah Satu Unit;Kantor Pelayanan Kekayaan Negara dan Lelang Banjarmasin;PERUSAHAAN UMUM DAERAH PASAR BAUNTUNG BATUAH;288-04 /PERUMDA.PBB/2023;Penilaian Properti;10-01-2024;BUMD;1;ST-38/KNL.1203/2024;16-01-2024;16-01-2024;;;;;;;;;;;;;;;S-63/KNL.1203/2024;25-01-2024;Peralatan dan Mesin, Lain - lain;Kendaraan Roda Empat;Penilaian Aset Badan Usaha Milik Daerah;Laporan Keuangan;;1;;;;
29;LAP-0014/1/PRO-01/KNL.1401/01.02.01/2024;05-02-2024;24-01-2024;112233000;atm;Kantor Pelayanan Kekayaan Negara dan Lelang Denpasar;Kantor Pelayanan Kekayaan Negara dan Lelang Denpasar - KPKNL_PKN;ND-23/KNL.140102/2024;Penilaian Properti;10-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-40;24-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-205/KNL.1401/2024;05-02-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
30;LAP-0016/1/PRO-01/KNL.0901/01.02.01/2024;29-01-2024;12-01-2024;8735000;BMN Sewa Sebagian Tanah dan Bangunan;Kantor Pelayanan Kekayaan Negara dan Lelang Semarang;Kantor Pelayanan Kekayaan Negara dan Lelang Semarang - KPKNL_PKN;KN.01.03/1/3594/2023;Penilaian Properti;05-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);6;ST-114/KNL.0901/2024;12-01-2024;12-01-2024;;;;;;;;;;;;;;;ND-32/KNL.0901/PiPem.4/2024;30-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
31;LAP-0019/1/PRO-01/KNL.0901/01.02.01/2024;02-02-2024;25-01-2024;4650000;BMN Sewa Sebagian Tanah;Kantor Pelayanan Kekayaan Negara dan Lelang Semarang;Kantor Pelayanan Kekayaan Negara dan Lelang Semarang - KPKNL_PKN;123/KPTA.W11-A/PL1.2.7/I/2024;Penilaian Properti;22-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-252/KNL2.0901/2024;25-01-2024;25-01-2024;;;;;;;;;;;;;;;ND-35/KNL.0901/PiPem.4/2024;02-02-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
32;LAP-0007/1/PRO-01/KNL.0906/01.02.01/2024;17-01-2024;15-01-2024;24403000;Sebagian tanah bangunan kantor pemerintah NUP 003 seluas 10.000 m2;Kantor Pelayanan Kekayaan Negara dan Lelang Purwokerto;Kantor Pelayanan Kekayaan Negara dan Lelang Purwokerto - KPKNL_PKN;745.2/RRI-PWT/12/2023;Penilaian Properti;04-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-24/KNL.0906/2024;15-01-2024;15-01-2024;;;;;;;;;;;;;;;ND-136/KNL.0906/2024;17-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
33;LAP-0006/1/PRO-01/KNL.0902/01.02.01/2024;23-01-2024;11-01-2024;4479000;"BARANG MILIK NEGARA SEBAGIAN BIDANG TANAH PENGADILAN NEGERI SUKOHARJO
Jalan Jenderal Sudirman Nomor 193, Kelurahan Jombor, Kecamatan Bendosari, Kabupaten Sukoharjo, Provinsi Jawa Tengah";Kantor Pelayanan Kekayaan Negara dan Lelang Surakarta;Kantor Pelayanan Kekayaan Negara dan Lelang Surakarta;ND-10/KNL.090202/2024;Penilaian Properti;05-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST- 29/KNL.0902/2024;11-01-2024;11-01-2024;;;;;;;;;;;;;;;ND-30/KNL.0902/PiPem.4/2024;23-01-2024;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
34;LAP-0018/1/PRO-01/KNL.0901/01.02.01/2024;02-02-2024;24-01-2024;2720000;BMN Sewa Sebagian tanah;Kantor Pelayanan Kekayaan Negara dan Lelang Semarang;Kantor Pelayanan Kekayaan Negara dan Lelang Semarang - KPKNL_PKN;ND-70/KPP.1008/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-219/KNL.0901/2024;24-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-34/KNL.0901/PiPem.4/2024;02-02-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
35;LAP-0006/2/PRO-01/KNL.0503/01.02.01/2024;31-01-2024;24-01-2024;31944000;Tanah Untuk Jalan Nasional;Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Bandar Lampung - KPKNL_PKN;ND-29/KNL.0502/2024;Penilaian Properti;15-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-43/KNL.0503/2024;22-01-2024;24-01-2024;;;;;;;;;;;;;;;ND-85/KNL.05.03/2024;31-01-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;6;;;;
36;LAP-0003/1/PRO-07/KNL.1101/07.03.01/2024;30-01-2024;01-02-2024;370218000;Satu unit kendaraan bermotor roda empat merk Toyota Fortuner 4x4 VRZ;Kantor Pelayanan Kekayaan Negara dan Lelang Pontianak;Pemerintah Kabupaten Kubu Raya Badan Pengelolaan Keuangan dan Aset Daerah;900.1.13.4/0209/BPKAD-Aset;Penilaian Properti;26-01-2024;Barang Milik Daerah;1;ST-117/KNL.1101/2024;30-01-2024;30-01-2024;;;;;;;;;;;;;;;S-108/KNL.1101/2024;01-02-2024;Peralatan dan Mesin;;Penilaian Barang Milik Daerah;Pemindahtanganan - Penjualan;;1;;;;
37;LAP-0004/1/PRO-01/KNL.1101/01.03.01/2024;02-02-2024;29-01-2024;38529000;Satu unit mobil dinas merk Isuzu Panther pada KPKNL Pontianak;Kantor Pelayanan Kekayaan Negara dan Lelang Pontianak;Kantor Pelayanan Kekayaan Negara dan Lelang Pontianak - KPKNL_PKN;ND-42/KNL.110101/2024;Penilaian Properti;26-01-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-118/KNL.1101/2023;29-01-2024;29-01-2024;;;;;;;;;;;;;;;ND-129/KNL.1101/2024;02-02-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;1;;;;
