No;Nomor Laporan;Tanggal Laporan;Tanggal Penilaian;Nilai Wajar Laporan;Deskripsi Objek;Nama Unit;Pemohon ;Nomor Surat Permohonan;Kategori Penilaian;Tanggal Permohonan Diterima;Objek Penilaian;Jumlah Objek Laporan;Nomor Surat Tugas;Tanggal Mulai Survey ;Tanggal Selesai Survey;Nomor Surat Kelengkapan ;Tanggal Surat Kelengkapan ;Nomor Surat Balas Kelengkapan ;Tanggal Surat Balas Kelengkapan ;Nota Dinas Tenaga Bantuan ;Tanggal Nota Dinas Tenaga Bantuan ;Nomor Nota Dinas Balas Bantuan ;Tanggal Balas Bantuan ;Nomor Surat BATKD Kirim ;Tanggal Surat BATKD Kirim ;Nomor Balasan Pemohon BATKD;Tanggal Balasan Pemohon BATKD;Nomor BATKD;Tanggal BATKD;Nomor Surat Penyerahan ;Tanggal Penyerahan ;Jenis Objek ;Jenis Objek Lainnya ;Tujuan Penilaian 1;Tujuan Penilaian 2;Tujuan Penilaian Lainnya ;Total Objek Permohonan ;Nomor Surat Konfirmasi ;Tanggal Surat Konfirmasi ;Nomor Surat Balas Konfirmasi;Tanggal Surat Balas Konfirmasi
1642;LAP-0025/1/PRO-01/KNL.0903/01.02.01/2024;27-03-2024;20-03-2024;11494000;Sewa Sebagian Tanah dan Bangunan;Kantor Pelayanan Kekayaan Negara dan Lelang Pekalongan;Kantor Pelayanan Kekayaan Negara dan Lelang Pekalongan - KPKNL_PKN;ND-90/KNL.090302/2024;Penilaian Properti;19-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-205/KNL.0903/2024;20-03-2024;20-03-2024;;;;;;;;;;;;;;;ND-5/KNL.0903/PiPem.3/2024;27-03-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;2;;;;
1643;LAP-0031/1/PRO-01/KNL.1102/01.02.01/2024;03-04-2024;28-03-2024;19966000;sewa bangunan BMN;Kantor Pelayanan Kekayaan Negara dan Lelang Singkawang;Kantor Pelayanan Kekayaan Negara dan Lelang Singkawang - KPKNL_PKN;ND-95/KNL.110202/2024;Penilaian Properti;26-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-170/KNL.1102/2024;27-03-2024;28-03-2024;;;;;;;;;;;;;;;ND-118/KNL.1102/PiPem.4/2024;03-04-2024;Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;2;;;;
1644;LAP-0081/1/PRO-01/KNL.0806/01.03.01/2024;02-04-2024;08-03-2024;212504000;Penilaian barang rampasan negara  AJB  248;Kantor Pelayanan Kekayaan Negara dan Lelang Cirebon;KEJAKSAAN AGUNG;B- 89/K.4/Kpa.5/01/2024;Penilaian Properti;04-02-2024;Barang Rampasan;1;ST-204/KNL.08.06/2024;04-03-2024;08-03-2024;;;;;;;;;;;;;;;S-603/KNL.0806/2024;03-04-2024;Tanah, Bangunan;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;hasil penilaian;14;;;;
1645;LAP-0027/1/PRO-01/KNL.0801/01.02.01/2024;13-03-2024;29-02-2024;18079000;Sewa sebagian tanah untuk penempatan mesin ATM Bank Mandiri;Kantor Pelayanan Kekayaan Negara dan Lelang Bandung;Kantor Pelayanan Kekayaan Negara dan Lelang Bandung - KPKNL_PENILAIAN;ND-130/KNL.080102/2024;Penilaian Properti;21-02-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-534/KNL.0801/2024;28-02-2024;29-02-2024;;;;;;;;;;;;;;;ND-20/KNL.0801/PiPem.3/2024;14-03-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
1646;LAP-0030/1/PRO-01/KNL.0801/01.03.01/2024;13-03-2024;29-02-2024;12266000;Pemindahtanganan 1 unit kendaraan bermotor Ambulan;Kantor Pelayanan Kekayaan Negara dan Lelang Bandung;Kantor Pelayanan Kekayaan Negara dan Lelang Bandung - KPKNL_PENILAIAN;ND-143/KNL.080102/2024;Penilaian Properti;23-02-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-534/KNL.0801/2024;28-02-2024;28-02-2024;;;;;;;;;;;;;;;ND-20/KNL.0801/PiPem.3/2024;14-03-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;1;;;;
1647;LAP-0191/2/PRO-01/KNL.0503/01.03.01/2024;28-03-2024;26-03-2024;542000;Sepeda Motor Merk/Type Yamaha YT 115 Tahun 1993 Nomor Polisi BE 5620 KZ;Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Metro - KPKNL_PKN;ND-200/KNL.050302/2024;Penilaian Properti;28-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-240/KNL.0503/2024;25-03-2024;25-03-2024;;;;;;;;;;;;;;;ND-53/KNL.0503/PiPem.3/2024;28-03-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;2;;;;
1648;LAP-0017/1/PRO-01/KNL.0202/01.02.01/2024;05-03-2024;01-03-2024;49192000;Sewa Sebagian Tanah dam Bangunan;Kantor Pelayanan Kekayaan Negara dan Lelang Pematang Siantar;Kantor Pelayanan Kekayaan Negara dan Lelang Medan - KPKNL_PKN;ND-165/KNL.0201/2024;Penilaian Properti;28-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);2;ST-79/KNL.0202/2024;29-02-2024;01-03-2024;;;;;;;;;;;;;;;;;Tanah, Bangunan;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;2;;;;
1649;LAP-0029/1/PRO-01/KNL.1102/01.02.01/2024;03-04-2024;28-03-2024;30500000;sewa tanah BMN;Kantor Pelayanan Kekayaan Negara dan Lelang Singkawang;Kantor Pelayanan Kekayaan Negara dan Lelang Singkawang - KPKNL_PKN;ND-94/KNL.110202/2024;Penilaian Properti;26-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-170/KNL.1102/2024;27-03-2024;28-03-2024;;;;;;;;;;;;;;;ND-118/KNL.1102/PiPem.4/2024;03-04-2024;Tanah;;Penilaian Barang Milik Negara;Pemanfaatan - Sewa;;1;;;;
1650;LAP-0192/2/PRO-01/KNL.0503/01.03.01/2024;28-03-2024;26-03-2024;287000;"Sepeda Motor Merk/Type 
Yamaha YT 115 Tahun 1993 
Nomor Polisi BE 5621 K";Kantor Pelayanan Kekayaan Negara dan Lelang Metro;Kantor Pelayanan Kekayaan Negara dan Lelang Metro - KPKNL_PKN;ND-200/KNL.050302/2024;Penilaian Properti;28-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-240/KNL.0503/2024;25-03-2024;25-03-2024;;;;;;;;;;;;;;;ND-53/KNL.0503/PiPem.3/2024;28-03-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;2;;;;
1651;LAP-0055/1/PRO-01/KNL.1604/01.03.01/2024;02-04-2024;27-03-2024;1672000;Material Bongkaran Pada Bangunan Yang Akan Dibongkar;Kantor Pelayanan Kekayaan Negara dan Lelang Ternate;Kantor Pelayanan Kekayaan Negara dan Lelang Ternate - KPKNL_PKN;ND-145/KNL.160402/2024;Penilaian Properti;26-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-181/KNL.1604/2024;27-03-2024;27-03-2024;;;;;;;;;;;;;;;ND-29/KNL.1604/PiPem.3/2024;02-04-2024;Bangunan;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;1;;;;
1652;LAP-0031/1/PRO-01/KNL.0305/01.03.01/2024;01-04-2024;22-03-2024;3859000;Kayu;Kantor Pelayanan Kekayaan Negara dan Lelang Dumai;Kejaksaan Negeri Dumai;B-416/L.4.11/Kpa.5/02/2024;Penilaian Properti;18-03-2024;Barang Rampasan;1;ST-114/KNL.0305/2024;20-03-2024;22-03-2024;;;;;;;;;;;;;;;S-204/KNL.0305/2024;01-04-2024;Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;Penilaian dan penetapan harga limit terhadap Barang Rampasan Negara;3;;;;
1653;LAP-0006/1/PRO-01/KNL.0204/01.03.01/2024;26-01-2024;23-01-2024;1851000;Sepeda Motor Solo/ Honda Beat;Kantor Pelayanan Kekayaan Negara dan Lelang Padang Sidimpuan;Kejaksaan Negeri Padangsidimpuan;B-522/L.2.15/Kpa.5/01/2024;Penilaian Properti;22-01-2024;Barang Rampasan;1;ST-23/KNL.0204/2024;23-01-2024;23-01-2024;;;;;;;;;;;;;;;S-57/KNL.0204/2024;26-01-2024;Peralatan dan Mesin;;Penilaian Barang Sitaan Guna Penjualan Secara Lelang;Lainnya;PERMOHONAN PENILAIAN HARGA WAJAR BARANG RAMPASAN NEGARA;3;;;;
1654;LAP-0066/1/PRO-01/KNL.0301/07.03.01/2024;04-04-2024;22-03-2024;280000;Barang Milik Daerah berupa 14 (empat belas) unit Limbah Padat (Scrap) Peralatan Kantor, Peralatan Rumah Tangga dan Meubeler;Kantor Pelayanan Kekayaan Negara dan Lelang Padang;Badan Keuangan Daerah Kota Solok;900/887/BKD/2023;Penilaian Properti;13-03-2024;Barang Milik Daerah;1;ST-255/KNL.0301/2024;19-03-2024;22-03-2024;;;;;;;;;;;;;;;S-497/KNL.0301/2024;04-04-2024;Peralatan dan Mesin;;Penilaian Barang Milik Daerah;Pemindahtanganan - Penjualan;;12;;;;
1655;LAP-0067/1/PRO-01/KNL.0301/07.03.01/2024;04-04-2024;22-03-2024;688000;Barang Milik Daerah berupa 76 (tujuh puluh enam) unit Limbah Padat (Scrap) peralatan kantor, peralatan rumah tangga dan meubeler;Kantor Pelayanan Kekayaan Negara dan Lelang Padang;Badan Keuangan Daerah Kota Solok;900/887/BKD/2023;Penilaian Properti;13-03-2024;Barang Milik Daerah;1;ST-255/KNL.0301/2024;19-03-2024;22-03-2024;;;;;;;;;;;;;;;S-497/KNL.0301/2024;04-04-2024;Peralatan dan Mesin;;Penilaian Barang Milik Daerah;Pemindahtanganan - Penjualan;;12;;;;
1656;LAP-0070/1/PRO-01/KNL.0301/07.03.01/2024;04-04-2024;22-03-2024;30504000;Barang Milik Daerah berupa 42 (empat puluh dua) unit  peralatan kantor, peralatan rumah tangga dan meubeler;Kantor Pelayanan Kekayaan Negara dan Lelang Padang;Badan Keuangan Daerah Kota Solok;900/887/BKD/2023;Penilaian Properti;13-03-2024;Barang Milik Daerah;1;ST-255/KNL.0301/2024;19-03-2024;22-03-2024;;;;;;;;;;;;;;;S-497/KNL.0301/2024;04-04-2024;Peralatan dan Mesin;;Penilaian Barang Milik Daerah;Pemindahtanganan - Penjualan;;12;;;;
1657;LAP-0092/1/PRO-01/KNL.0203/01.03.01/2024;02-04-2024;20-03-2024;1436000;Sepeda motor merk honda beat;Kantor Pelayanan Kekayaan Negara dan Lelang Kisaran;Kejaksaan Negeri Batu Bara;B-558/L.2.32/KPA.5/03/2024;Penilaian Properti;18-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-180/KNL.0203/2024;19-03-2024;20-03-2024;;;;;;;;;;;;;;;S-211/KNL.0203/2024;02-04-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;18;;;;
1658;LAP-0102/1/PRO-01/KNL.0203/01.03.01/2024;02-04-2024;20-03-2024;2332000;Sepeda motor merk honda supra x 125;Kantor Pelayanan Kekayaan Negara dan Lelang Kisaran;Kejaksaan Negeri Batu Bara;B-558/L.2.32/KPA.5/03/2024;Penilaian Properti;18-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-180/KNL.0203/2024;19-03-2024;20-03-2024;;;;;;;;;;;;;;;S-211/KNL.0203/2024;02-04-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;18;;;;
1659;LAP-0105/1/PRO-01/KNL.0203/01.03.01/2024;02-04-2024;20-03-2024;63000;Handphone merk samsung;Kantor Pelayanan Kekayaan Negara dan Lelang Kisaran;Kejaksaan Negeri Batu Bara;B-558/L.2.32/KPA.5/03/2024;Penilaian Properti;18-03-2024;Barang Milik Negara (pada Pengguna / Kuasa Pengguna Barang);1;ST-180/KNL.0203/2024;19-03-2024;20-03-2024;;;;;;;;;;;;;;;S-211/KNL.0203/2024;02-04-2024;Peralatan dan Mesin;;Penilaian Barang Milik Negara;Pemindahtanganan - Penjualan;;18;;;;
